id|title|answer|url
 PSP01013|¿El otro progenitor de mi hijo no desea darle el permiso de salida del país, qué debo hacer?|En este caso, usted debe presentar una demanda ante un Juez de Familia, a fin de que este resuelva la controversia, mediante sentencia. |https://www.icbf.gov.co/el-otro-progenitor-de-mi-hijo-no-desea-darle-el-permiso-de-salida-del-pais-que-debo-hacer
 CUS01001|¿Qué es la Custodia?|Es la tenencia física, el cuidado personal y directo del niño, niña o adolescente. Es un derecho de los niños y una obligación de los padres o representantes legales. |https://www.icbf.gov.co/que-es-la-custodia
 CUS01002|¿Cómo hago para ver a mi hijo(a) si no tengo la custodia? |Usted puede solicitar la fijación o regulación de visitas en el Centro Zonal de Bienestar Familiar del lugar en donde se encuentre el niño, niña o adolescente, ya que por Ley es la autoridad competente para conocer y decidir sobre este asunto. Allí, deberá presentarse el registro civil de nacimiento del niño(a), copia de la cedula del solicitante, pruebas de los hechos fundamento de las pretensiones, entre otras. Las visitas se regulan de acuerdo con las necesidades del hijo(a) y a la capacidad del padre o madre de brindarle la atención, cuidado y protección requerida durante el término que duren. Sin embargo, el padre que resida con su menor hijo, también podrá acudir al Juez de Familia para que reglamente las visitas, previo agotamiento del requisito de procedibilidad, esto es, previa conciliación extrajudicial. |https://www.icbf.gov.co/como-hago-para-ver-mi-hijoa-si-no-tengo-la-custodia
 CUS01003|¿Cuáles son los causales que pueden dar lugar a la fijación de la custodia?|No existen causales establecidas en la ley para este hecho, sin embargo corresponde a las autoridades competentes tanto administrativas como judiciales, analizar los hechos de cada caso en concreto a la luz de la normatividad vigente sobre la materia y adoptar una decisión pensando siempre en el bienestar del niño o niña. Los casos más frecuentes son: cuando los padres del menor de edad no conviven juntos y por ello se debe otorgar la tenencia a uno de ellos; también cuando alguno de los padres, o el cuidador que ostente la custodia no sean garantes de sus derechos. También si existe acuerdo entre los padres y los familiares en cuanto a la custodia, pueden acudir al Centro Zonal del lugar donde el niño viva, a fin de que se verifique la viabilidad por parte del Defensor de Familia o autoridad competente. |https://www.icbf.gov.co/cuales-son-los-causales-que-pueden-dar-lugar-la-fijacion-de-la-custodia
 CUS01004|¿Dónde puedo realizar una diligencia de fijación de custodia?|En el Centro Zonal del ICBF más cercano al lugar de residencia del niño, niña o adolescente.Comisaría de Familia más cercano al lugar de residencia del niño, niña o adolescente.Notarias.Centros de Conciliación de Universidades o Privados, legalmente autorizados por la ley.Delegados regionales y seccionales de la Defensoría del Pueblo.Agentes del Ministerio PúblicoJueces de Familia. A falta de todos los anteriores, en el respectivo municipio, esta conciliación podrá ser adelantada por los Personeros y los Jueces Civiles y Promiscuos Municipales. Cabe aclarar que en los lugares del territorio colombiano en donde el Bienestar Familiar no preste sus servicios, así no exista violencia intrafamiliar, podrán acudir a la Comisaria de Familia o Inspección de Policía más cercana al lugar de residencia del niño, niña o adolescente. |https://www.icbf.gov.co/donde-puedo-realizar-una-diligencia-de-fijacion-de-custodia
 CUS01005|¿Es válido que los padres de común acuerdo definan quien tendrá la custodia sin necesidad de acudir a alguna entidad?|Sí, es completamente valido que los padres definan la custodia de forma privada sin acudir a ninguna entidad; sin embargo lo recomendable es que lo hagan por escrito ante una autoridad competente. Es preciso recordar que cualquier decisión que se tome respecto a los hijos debe propender por su bienestar. |https://www.icbf.gov.co/es-valido-que-los-padres-de-comun-acuerdo-definan-quien-tendra-la-custodia-sin-necesidad-de-acudir
 CUS01009|¿En Colombia está regulada la custodia compartida? |No, en Colombia no existe una norma expresa sobre la denominada custodia compartida. |https://www.icbf.gov.co/en-colombia-esta-regulada-la-custodia-compartida
 PTP01006|¿Si uno de los progenitores de un niño fue privado(a) de la Patria Potestad, se requiere de su permiso para que el menor de edad salga del país?|No se requiere el permiso del padre o madre a quien se le privó la Patria Potestad, sólo se debe presentar copia de la sentencia Judicial que ordena la privación, debidamente ejecutoriada.|https://www.icbf.gov.co/si-uno-de-los-progenitores-de-un-nino-fue-privadoa-de-la-patria-potestad-se-requiere-de-su-permiso
 PTP01004|¿Si el padre perdió la patria potestad está obligado a pagar la cuota alimentaria?|Si, cuando los padres son privados de la patria potestad no cesa la obligación de brindar alimentos, de tal manera que debe seguirse cumpliendo con su pago.|https://www.icbf.gov.co/si-el-padre-perdio-la-patria-potestad-esta-obligado-pagar-la-cuota-alimentaria
 PTP01002|Cuando voy a demandar al padre o madre de mi hijo para privarlo de la patria potestad y desconozco su lugar de residencia o de trabajo, ¿qué debo hacer? |Uno de los requisitos para adelantar el proceso de privación de patria potestad ante un juzgado de familia es llevar la dirección de la residencia y/o lugar de trabajo del padre o madre a demandar. Si no la conoce debe manifestarlo y solicitar su emplazamiento; es decir que se fije un aviso informando sobre el proceso que se inicia. Si el citado(a) no comparece durante el término legal, se le nombra un curador o abogado de oficio y se continúa el proceso. Para adelantar este proceso usted puede acercarse al centro zonal más cercano al domicilio del niño(a) o, si cuenta con un abogado particular, este deberá presentar la demanda en un Juzgado de familia.|https://www.icbf.gov.co/cuando-voy-demandar-al-padre-o-madre-de-mi-hijo-para-privarlo-de-la-patria-potestad-y-desconozco-su
 PTP01003|¿A qué edad el hijo(a) puede decidir si vive con el padre o la madre? |No hay establecida una edad específica para que el niño(a) pueda decidir si vive con la madre o el padre, pero la ley 1098 de 2006 (Código de la Infancia y Adolescencia), si señala como uno de los derechos fundamentales de todo niño(a) o adolescente el ser escuchado y que su opinión sea tenida en cuenta. Esto traduce que el querer del niño(a) debe ser evaluado en conjunto con todas las pruebas que obran dentro del proceso, buscando establecer si ese querer se está manifestando de manera libre y espontánea, lejos de la influencia de la madre o el padre, para así poder determinar qué es lo más conveniente para el niño(a). En todo caso, se debe tener en cuenta la madurez mental y psicológica del niño(a) o adolescente al momento de examinar la manifestación de su opinión.|https://www.icbf.gov.co/que-edad-el-hijoa-puede-decidir-si-vive-con-el-padre-o-la-madre
 PTP01001|¿Cuál es la diferencia entre Custodia y Patria Potestad? |La Patria Potestad es el conjunto de derechos que la Ley les reconoce a ambos padres sobre sus hijos menores de edad, estos derechos se reducen a administrar sus bienes y representarlo legalmente. Por el contrario, la custodia es el cuidado permanente del niño y su tenencia, para ejercerla se requiere tener físicamente al menor de edad. El progenitor que no tenga la custodia tiene derecho a ejercer la patria potestad, mientras no exista orden judicial que la suspenda o prive.|https://www.icbf.gov.co/cual-es-la-diferencia-entre-custodia-y-patria-potestad
 PTP01005|¿Cómo hago para quitarle la patria potestad al padre o madre de mi hijo(a) ya que no ha respondido nunca por su cuidado?|Es el Juez de Familia, dentro de un proceso de privación de patria potestad, quien determina en cada caso concreto, si resulta viable y benéfico o no para el niño dicha privación. La Ley determina que se puede privar, entre otras causas, por las siguientes: Maltrato habitualHaber abandonado al hijoDepravaciónEstar privado de la libertad por un periodo superior a un añoHaber utilizar al hijo para la comisión de un delito Para adelantar dicho proceso, si el interesado no tiene recursos suficientes para contratar los servicios de un profesional del derecho, puede acudir al Centro Zonal de Bienestar Familiar correspondiente al domicilio del niño(a) para que el Defensor de Familia inicie el proceso. Debe presentar Registro Civil de Nacimiento del niño(a), copia de su cédula de ciudadanía y las pruebas que demuestren los hechos que usted expone, tales como: documentos (certificaciones escolares, facturas de compra, contratos de arriendo, certificaciones médicas, etc.), nombres y direcciones de a quienes les conste que la única persona que ha cuidado del niño y cubierto todas sus necesidades ha sido usted, además que el padre o la madre demandado ha abandonado totalmente a su hijo; igualmente, debe llevar la dirección de la residencia y/o lugar de trabajo del padre o madre a demandar, si lo conociere; de lo contrario, manifestar que lo desconoce y solicitar su citación mediante aviso.|https://www.icbf.gov.co/como-hago-para-quitarle-la-patria-potestad-al-padre-o-madre-de-mi-hijoa-ya-que-no-ha-respondido
 TRC01001|¿Qué es un trámite consular?|Son actuaciones o procedimientos mediante los cuales se solicita la intervención del Ministerio de Relaciones Exteriores, a través de los consulados de Colombia en el exterior; para el trámite, verificación, notificación, denuncia, solicitud de medidas de protección y todas aquellas actividades que tengan que ver con la promoción, garantía y restitución de los derechos de la niñez y la familia, en especial rendición de conceptos y la repatriación de niños, niñas y adolescentes. |https://www.icbf.gov.co/que-es-un-tramite-consular
 TRC01002|¿En qué consiste el proceso de Restablecimiento Internacional de Derechos?|Conjunto de acciones realizadas por el cónsul y/o los Centros Zonales de Bienestar Familiar cuando existe una vulneración de los derechos del niño que se encuentra fuera del territorio colombiano, encaminadas a restablecerlos, o de niños extranjeros que se encuentran en territorio Nacional. |https://www.icbf.gov.co/en-que-consiste-el-proceso-de-restablecimiento-internacional-de-derechos
 TRC01003|¿Cuál es el procedimiento de un Trámite Consular?|Las solicitudes son recibidas a través de los centros zonales del ICBF, regionales o directamente por la Dirección de Protección para remitirlas a la coordinación del Grupo de Asistencia y Promoción de Comunidades Colombianas en el Exterior, del Ministerio de Relaciones Exteriores, para que a su vez esta oficina las envíe al consulado de Colombia en el país donde se encuentre el niño y se le dé el trámite respectivo o solicitado, según sea el caso. |https://www.icbf.gov.co/cual-es-el-procedimiento-de-un-tramite-consular
 TRC01004|¿El cónsul puede obligar a comparecer al requerido en un proceso?|No, el cónsul no cuenta con la facultad de obligar a ninguna persona para la ejecución de diligencias para las cuales ha sido comisionado. Su actuación deberá enmarcarse dentro de la más absoluta moderación y prudencia, evitando así cualquier inconveniente que pueda afectar las relaciones internacionales entre los estados. |https://www.icbf.gov.co/el-consul-puede-obligar-comparecer-al-requerido-en-un-proceso
 CUS01018|¿Puedo perder la custodia de mi hijo(a) si no tengo trabajo o recursos económicos? |La falta de recursos económicos no supone de plano que el padre o madre NO sea apto para ostentar la custodia de su hijo. |https://www.icbf.gov.co/puedo-perder-la-custodia-de-mi-hijoa-si-no-tengo-trabajo-o-recursos-economicos
 CUS01006|¿Puedo solicitar la custodia de mi hijo que ya fue otorgada al otro progenitor? |Si es posible, si los padres están de acuerdo con su modificación es factible solicitarlo ante la autoridad competente del lugar de residencia del niño o niña. Así mismo, el padre o madre interesado puede solicitar la revisión de la custodia siempre y cuando las condiciones en las que se otorgó hayan cambiado. |https://www.icbf.gov.co/puedo-solicitar-la-custodia-de-mi-hijo-que-ya-fue-otorgada-al-otro-progenitor
 CUS01007|Tengo la custodia de mi hijo(a) conferida por autoridad competente y el otro progenitor no desea regresarme al niño(a) ¿Qué puedo hacer? |"""Usted debe acercarse a la Fiscalía más cercana a su domicilio y formular una denuncia por el delito de Ejercicio Arbitrario de Custodia, para ello debe exponer los hechos, presentar el registro civil de nacimiento del niño o niña, copia de su cédula, el acta, sentencia o documento mediante el cual se le confirió la custodia; así como los datos que posea del padre o madre que tenga al niño. También puede acercarse al Centro Zonal más cercano al lugar de residencia del niño, niña o adolescente, donde el Defensor de Familia procederá a presentar la denuncia ante la Fiscalía, y adelantar las acciones a que haya lugar de acuerdo a su competencia."" "|https://www.icbf.gov.co/tengo-la-custodia-de-mi-hijoa-conferida-por-autoridad-competente-y-el-otro-progenitor-no-desea
